height,next_block_mean_fee,hour_mean_fee,six_hour_mean_fee,day_mean_fee,time_btwn_blocks,next_block_sat/vB,hour_block_sat/vB,six_hour_block_sat/vB,day_block_sat/vB,mempool_mean_fee,mempool_mean_vBytes,month,day,hour,minute
661075,18266.11590909091,10617.828217054264,1.0,1.0,210.46629405021667,15.82,14.538873994638072,1.0,1.0,8.653977620350992e-05,108.34871732946921,12,12,14,40
661076,19331.65164433618,7964.942767950053,3514.9575971731447,1.0,500.3282370567322,15.449122807017542,11.279976153549624,12.18539976825029,1.0,7.571900800086496e-05,107.846291490972,12,12,14,48
661077,20859.861587982832,8049.7039464509835,5439.564061425625,1.0,275.94155192375183,15.334850158365107,8.083769633507854,8.245048019207683,1.0,6.647320043411207e-05,111.77029759524763,12,12,14,52
661078,29385.714285714286,7310.821814006889,5441.877662479519,3511.6601607347875,80.54594993591309,15.448435689455389,5.75,5.25,0.5022321428571428,5.210727028839705e-05,125.24750838363516,12,12,14,54
661079,1.0,10478.422744128553,5103.523536359035,1.0,59.12924909591675,15.448435689455389,4.813616071428572,4.236276606542164,1.0,4.604368595181541e-05,149.8640927214116,12,12,14,55
661080,17857.094488188977,5612.917525773196,4420.8410656867245,3307.159537572254,97.43376994132996,12.69633507853403,3.0574257425742575,2.8501483679525226,0.5066964285714286,4.276386534415389e-05,168.69357779781583,12,12,14,56
661081,19977.189141856394,7990.311594202899,3722.8712487899325,1.0,683.8462660312653,15.0,14.983557548579968,2.25,1.0,6.974064909297053e-05,161.15614370748298,12,12,15,8
661082,16146.949348769902,4147.437858508604,3745.621278019404,3250.749716874293,639.493656873703,15.078534031413612,12.923701298701298,1.9161676646706587,0.49822356402287127,5.855114124824027e-05,158.7444321914594,12,12,15,18
661083,18845.39780658026,2198.1311672683514,3575.22947761194,1.0,359.30677604675293,15.078534031413612,1.5135771625163827,1.5179671457905544,1.0,4.864787215217873e-05,177.32455209024553,12,12,15,24
661084,15176.378057302585,1975.1384928716907,3297.192152917505,1.0,1250.4609560966492,15.201793721973091,15.032308490819933,0.7600896860986548,1.0,7.238873053212199e-05,138.0468060512654,12,12,15,45
661085,16095.212598425198,2664.872830036334,3345.6245272825495,2415.9072769953054,241.2277479171753,15.138772290992701,1.25,1.1111111111111112,0.5009045291703244,3.852375174198687e-05,160.99002588094763,12,12,15,49
661086,14653.893617021276,1420.6958654519972,3541.248125426039,2224.995232419547,39.97196102142334,14.994690265486728,1.0,0.8644774457965441,0.497787610619469,3.0097246251084397e-05,190.56691659437348,12,12,15,50
661087,17604.723564480704,8108.232142857141,1.0,1.0,2143.5642609596252,15.555167877694629,15.662522202486679,1.0,1.0,0.00010734155353002318,136.7292196370033,12,12,16,26
661088,16557.361915367484,12191.057265388497,1.0,1.0,638.3977980613708,15.430803571428571,14.860994440697365,1.0,1.0,8.410138122505639e-05,146.83725273295158,12,12,16,36
661089,15435.83125,4556.72047337278,4508.096960926194,2343.02457002457,523.7538619041443,15.06726457399103,5.294921875,0.5022272047832586,0.40362090534216744,5.2689889141061454e-05,145.0563656599162,12,12,16,45
661090,17275.020547945205,1785.8560693641618,1.0,1.0,408.32238721847534,20.32522707295634,20.718367346938773,1.0,1.0,3.6603175759071835e-05,189.2425049370526,12,12,16,52
661091,14391.271227559439,1712.0284463894966,3872.1336515513117,1.0,755.5084218978882,15.012865497076024,1.0,0.7520107238605898,1.0,5.268351708706266e-05,163.36821857200974,12,12,17,4
661092,13018.488833746896,2142.2631964809384,3907.9130434782605,1.0,148.66866493225098,14.325000000000001,0.7566964285714286,0.7503805175038053,1.0,3.528290649350649e-05,197.72525324675328,12,12,17,7
661093,15169.544600938967,7502.471204188482,4604.420168067227,2341.769325153374,302.60746002197266,12.696645101990313,0.7500000000000001,0.7459893048128342,0.5139705882352941,4.899929667324928e-05,220.49228695123804,12,12,17,12
661094,15925.919098822325,8222.380952380954,5815.786440677966,2340.75956284153,754.563108921051,14.250000000000002,8.07111111111111,0.5029673590504451,0.5059331750943669,6.842668398876405e-05,203.22693820224717,12,12,17,25
661095,14569.185068349108,6053.448,6401.767123287672,2277.2538569424964,362.8669681549072,14.915121951219515,14.595169947220128,0.5044444444444444,0.5044642857142857,5.131324191164395e-05,228.17640417145674,12,12,17,31
661096,17142.32546671363,12395.55625,1.0,1.0,2398.490285873413,15.386160714285715,16.182831661092532,1.0,1.0,0.00010715782385355374,141.86562529186514,12,12,18,11
661097,15735.317269076306,9466.156728067435,6369.248299319727,1.0,200.43078112602234,15.06726457399103,7.600446428571429,0.2688330871491876,1.0,6.241813723205966e-05,168.06677539608575,12,12,18,14
661098,14326.605855245325,1820.7433628318583,1.0,1.0,1529.1720459461212,15.066371681415928,14.04342792066053,1.0,1.0,6.894627842003854e-05,142.47394749518304,12,12,18,39
661099,21547.999999999993,1302.3814126394052,6226.524916943521,2039.1413843888074,35.4199800491333,13.68505859375,0.7562615955473099,0.5032338870367039,0.503092901843412,2.5523432443099592e-05,182.0965728193659,12,12,18,40
661100,19252.15096153846,5142.403846153847,6149.24,2026.6343930635842,394.92372608184814,14.91165974162428,12.788519637462239,0.5024390243902439,0.5026525385567938,5.983405033946017e-05,221.54927968206658,12,12,18,47
661101,13385.457142857142,1004.9523809523808,4381.161048689139,2113.780998389694,137.98774194717407,9.291202053971812,0.5034324942791762,0.5026178010471204,0.5019353819853707,3.7211875e-05,255.5992674180328,12,12,18,49
661102,14192.92275965504,5054.107692307693,1.0,1.0,1057.7549278736115,12.5,14.924724205061649,1.0,1.0,7.411028596440035e-05,182.86643930551506,12,12,19,7
661104,1.0,12918.689956331877,1354.494661921708,2071.3298755186725,158.2078981399536,12.5,9.143636924342104,0.2951945080091533,0.30231567869222487,4.088590827338129e-05,257.7894503147482,12,12,19,9
661105,13976.773584905657,12024.70588235294,2077.9812500000003,1782.8443804034584,103.4159369468689,10.85431546516967,11.147982062780269,0.27487378243897126,0.2735674676524954,4.575201062887511e-05,290.4900280484204,12,12,19,11
661106,13289.522954091815,5556.78947368421,2176.550724637681,2008.5616438356165,228.12786507606506,12.492384653764343,3.1021533613445382,0.25735294117647056,0.25735294117647056,5.4090207972270365e-05,313.08579722703644,12,12,19,15
